"","Date","TDa","Volatility","Volume","Roll"
"101",2012-06-04,-1.22529871606758,2.31923,500,0
"102",2012-06-05,-1.26035701496103,2.19539,1750,0
"103",2012-06-06,-1.4091278405163,1.86485,1400,0
"104",2012-06-08,2.75301080082818,0,400,0
"105",2012-06-11,-0.971661721819904,0.81425,1300,0
"106",2012-06-12,4.22838010489038,4.02985,6420,0
"107",2012-06-13,-4.2101460826863,0.2079,200,0
"108",2012-06-14,-0.946966980640791,4.9922,13716,0
"109",2012-06-15,1.33319876631835,4.36612,6850,0
"110",2012-06-18,-1.16871702237228,3.10559,450,0
"111",2012-06-19,0.703530267090872,3.125,19359,0
"112",2012-06-20,-0.874813770169188,3.57511,17250,0
"113",2012-06-21,0.458389660285851,5.31791,64296,0
"114",2012-06-22,-0.859421664580527,12.7113,15545,0
"115",2012-06-25,1.03521364271155,5.53761,15888,0
"116",2012-06-26,0.545817591944663,3.86566,5125,0
"117",2012-06-27,-1.91733655786149,2.12079,6935,0
"118",2012-06-28,2.27537159104027,1.22784,2875,0
"119",2012-06-29,-0.872935092919557,2.16893,3350,0
"120",2012-07-02,-0.116122180957891,1.78571,15022,0
"121",2012-07-03,-0.678850197350425,1.90693,10468,0
"122",2012-07-05,1.01353402918662,3.67607,20128,0
"123",2012-07-06,-0.279269804145931,1.17137,15421,0
"124",2012-07-09,0.277500738111187,0.82557,14014,0
"125",2012-07-10,0.176508481675485,2.77912,10125,0
"126",2012-07-11,-1.38129637118913,3.70108,8954,0
"127",2012-07-12,1.17238850978372,1.90364,14129,0
"128",2012-07-13,0.237098020629008,1.79466,3703,1
"129",2012-07-16,0.0516687041945687,1.45163,17488,0
"130",2012-07-17,-0.170386015673576,2.19156,11560,0
"131",2012-07-18,0.11110537094578,2.2049,4069,0
"132",2012-07-19,-0.754122705229954,3.32185,16970,0
"133",2012-07-20,-0.250009947555991,1.00564,11212,0
"134",2012-07-23,0.1243857698853,1.88474,6496,0
"135",2012-07-24,-0.0297553755798008,2.73463,34266,0
"136",2012-07-25,1.09381667413782,1.26001,7065,0
"137",2012-07-26,-1.37502567520736,1.875,9531,0
"138",2012-07-27,0.721683955932571,1.55898,12800,0
"139",2012-07-30,-0.106652282802427,0.69998,7608,0
"140",2012-07-31,-0.0106000894116669,2.61876,8973,0
"141",2012-08-01,0.626653036122709,7.97396,37497,0
"142",2012-08-02,-0.927487630085783,1.62557,28605,0
"143",2012-08-03,0.931270118477524,2.38403,20396,0
"144",2012-08-06,-0.326819779936466,1.73178,7534,0
"145",2012-08-07,0.334159285718108,1.20968,3115,0
"146",2012-08-08,-1.16723193004183,1.58215,6230,0
"147",2012-08-09,1.00316690561251,1.14416,4246,0
"148",2012-08-10,0.389054166384715,1.99236,20370,0
"149",2012-08-13,-0.99672661645881,3.60765,4841,0
"150",2012-08-14,0.515064267900792,2.29655,6001,0
"151",2012-08-15,-0.52720108159576,1.4692,5580,0
"152",2012-08-16,0.429194136271243,0.82256,6650,0
"153",2012-08-17,-0.642448463243518,0.88514,3120,0
"154",2012-08-20,0.986541759743365,1.9766,1600,0
"155",2012-08-21,0.429934867929154,1.93676,8450,0
"156",2012-08-22,-0.172259198577437,1.53021,2941,0
"157",2012-08-23,-0.947015268175416,2.45298,3690,0
"158",2012-08-24,-0.0496873781071547,1.49935,2480,0
"159",2012-08-27,0.0741449639329592,0.93504,8734,0
"160",2012-08-28,1.25417922010225,1.31309,3095,0
"161",2012-08-29,-0.506523543416976,2.2115,2660,0
"162",2012-08-30,0.72076621628882,1.40056,8887,0
"163",2012-08-31,-0.554869556798518,1.35014,13879,0
"164",2012-09-04,-0.374007524884138,0.73024,553,0
"165",2012-09-05,3.64541232137594,1.40208,2885,0
"166",2012-09-06,-4.08857804827244,1.46972,2255,0
"167",2012-09-07,-0.0986195451640817,1.78883,10576,0
"168",2012-09-10,0.0568500674045285,1.80033,19564,0
"169",2012-09-11,0.138967983286577,1.21314,4275,0
"170",2012-09-12,0.187135041725586,1.63132,5000,0
"171",2012-09-13,-0.295013394057295,3.47475,15611,0
"172",2012-09-14,0.365637678283196,1.21797,23251,1
"173",2012-09-17,0.162898397445027,2.74588,32027,0
"174",2012-09-18,-0.316918990108907,2.30608,10000,0
"175",2012-09-19,-0.818760509691071,0.37195,2900,0
"176",2012-09-20,0.203261240652817,1.63215,4820,0
"177",2012-09-21,0.959547650887688,1.12874,17455,0
"178",2012-09-24,0.203716772227692,1.64567,13564,0
"179",2012-09-25,-0.70997481187563,1.19194,2263,0
"180",2012-09-26,0.0882996410454764,1.46321,15032,0
"181",2012-09-27,-0.460830071954944,1.87394,10852,0
"182",2012-09-28,0.131402296408376,2.41013,12500,0
